,Посада,Зарплата на місяць,Зарплата на місяць,mean
,,min,max,
0,Business analyst,200,5000,2600.0
1,DBA,380,6000,3190.0
2,Data Scientist / Data Analyst,150,8000,4075.0
3,Designer,100,4000,2050.0
4,DevOps,194,10000,5097.0
5,Director of Engineering / Program Director,1500,34000,17750.0
6,ERP / CRM,100,6000,3050.0
7,Game designer,150,6800,3475.0
8,HR,100,7000,3550.0
9,HTML coder,154,3000,1577.0
10,Junior QA engineer,96,2000,1048.0
11,Junior Software Engineer,75,2600,1337.5
12,Marketing,100,4000,2050.0
13,Product Manager,250,5000,2625.0
14,Project manager,190,8000,4095.0
15,QA Tech Lead,430,6000,3215.0
16,QA engineer,150,2900,1525.0
17,Research Engineer,114,4000,2057.0
18,Sales manager,120,2300,1210.0
19,Scrum Master,370,4500,2435.0
20,Security Specialist,300,4000,2150.0
21,Senior Project Manager / Program Manager,200,9100,4650.0
22,Senior QA engineer,400,6000,3200.0
23,Senior Software Engineer,350,9200,4775.0
24,Software Engineer,100,7000,3550.0
25,Support,138,3650,1894.0
26,Sysadmin,90,3000,1545.0
27,System Architect,400,10000,5200.0
28,Talent Researcher,100,1700,900.0
29,Team lead,300,7000,3650.0
30,Technical Lead,500,18000,9250.0
31,Technical writer,200,3000,1600.0
